id,user_id,amount,transaction_type,description,merchant,category,transaction_date,is_anomaly,anomaly_score,anomaly_reason
afe9377b-8410-4a8d-b41d-b358e5115123,8e262dfd-e251-4319-8663-f6d54c76b70e,5887.27,income,PAYROLL DIRECT DEP - MONTHLY SALARY,SALARY TRANSFER IN,Salary/Income,2023-01-01,False,0.0,
1ffc4c07-bf69-4837-9d61-112ba58601fa,cb94a036-ec68-4276-9893-fe2cf6e8564f,3973.07,income,PAYROLL DIRECT DEP - PAYROLL,ACH PAYROLL DEP,Salary/Income,2023-01-01,False,0.0,
60326699-8a52-4470-9337-1a57ee945669,85e39c2a-17ed-4916-8c78-940a07a95da9,6607.42,income,PAYROLL DIRECT DEP - PAYROLL,ACH PAYROLL DEP,Salary/Income,2023-01-01,False,0.0,
22c4dc65-420a-4a9f-a2b6-01d4ab1df9d6,5628f116-e4cc-4717-9878-da285211f425,4032.02,income,PAYROLL DIRECT DEP - SALARY,SALARY TRANSFER IN,Salary/Income,2023-01-01,False,0.0,
d3b5d4e6-975b-42f3-bb7c-f0761b322e45,fa4cd353-74d0-4f3a-9305-2f805e58d947,4029.56,income,PAYROLL DIRECT DEP - PAYCHECK,PAYROLL DIRECT DEP,Salary/Income,2023-01-01,False,0.0,
663aaf19-2e74-4eec-beb0-e1f471775e23,8e262dfd-e251-4319-8663-f6d54c76b70e,30.8,expense,IHOP #3847 BREAKFAST,IHOP #3847,Food & Dining,2023-01-02,False,0.0,
5ae5bd9c-b437-4f06-b86f-f59514fabada,8e262dfd-e251-4319-8663-f6d54c76b70e,44.13,expense,WALMART GROCERY FOOD,WALMART GROCERY,Groceries,2023-01-02,False,0.0,
04f3cc4e-119c-4d5b-b341-894a86055084,5628f116-e4cc-4717-9878-da285211f425,178.77,expense,ZOOM PRO SUBSCRIPTION BILL PAY,ZOOM PRO SUBSCRIPTION,Utilities & Bills,2023-01-02,False,0.0,
a05c383e-8761-4778-b9d4-500f8c13820e,5628f116-e4cc-4717-9878-da285211f425,90.57,expense,AMAZON PRIME MEMBERSHIP AUTO PAY,AMAZON PRIME MEMBERSHIP,Utilities & Bills,2023-01-02,False,0.0,
8e87475f-41b2-4637-8b57-c079ef3e1117,8e262dfd-e251-4319-8663-f6d54c76b70e,83.91,expense,MSFT *OFFICE 365 SERVICE,MSFT *OFFICE 365,Utilities & Bills,2023-01-02,False,0.0,
280bff22-615a-4148-907b-5ca7fb6a0b44,8e262dfd-e251-4319-8663-f6d54c76b70e,116.49,expense,ADT SECURE HOME AUTO PAY,ADT SECURE HOME,Utilities & Bills,2023-01-02,False,0.0,
be31bf48-6cf6-46e8-8d6a-7b74073829e0,8e262dfd-e251-4319-8663-f6d54c76b70e,262.1,expense,CONCISE CHIRO CLINIC CLINIC,CONCISE CHIRO CLINIC,Healthcare,2023-01-02,False,0.0,
62b19de7-2cb6-4721-86fa-558408b70815,8e262dfd-e251-4319-8663-f6d54c76b70e,945.88,expense,PRICELINE HOTELS BOOKING,PRICELINE HOTELS,Travel,2023-01-02,False,0.0,
28bfc82c-44cb-43a2-9558-8000c5c6e610,8e262dfd-e251-4319-8663-f6d54c76b70e,37.46,expense,COSTCO WHSE #3847 PRODUCE,COSTCO WHSE #3847,Groceries,2023-01-02,False,0.0,
05ab7b72-75a0-429d-898a-edba2bda12f4,cb94a036-ec68-4276-9893-fe2cf6e8564f,785.54,expense,BOOKING.COM RESV RESORT,BOOKING.COM RESV,Travel,2023-01-05,False,0.0,
2d7693a7-12b8-4187-bfea-385db93f141c,cb94a036-ec68-4276-9893-fe2cf6e8564f,68.29,expense,TRADER JOE'S #47 MARKET,TRADER JOE'S #47,Groceries,2023-01-05,False,0.0,
ee982b1f-2e51-4dbb-92bc-2e4f4fc90a1b,cb94a036-ec68-4276-9893-fe2cf6e8564f,623.65,expense,DELTA AIR LINES HOTEL,DELTA AIR LINES,Travel,2023-01-05,False,0.0,
28d35895-2ec0-4541-9b0a-8059031ee88c,cb94a036-ec68-4276-9893-fe2cf6e8564f,1489.98,expense,MARRIOTT HOTELS HOTEL,MARRIOTT HOTELS,Travel,2023-01-05,False,0.0,
25fa6a4b-777c-4106-a967-86720c520dac,cb94a036-ec68-4276-9893-fe2cf6e8564f,100.11,expense,TOLL ROAD #3847 PARKING,TOLL ROAD #3847,Transportation,2023-01-05,False,0.0,
