id,user_id,amount,transaction_type,description,merchant,category,transaction_date,is_anomaly,anomaly_score,anomaly_reason
45484b56-fb06-44b8-aa4d-8bd3cd5f0a76,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,5887.27,income,PAYROLL DIRECT DEP - MONTHLY SALARY,SALARY TRANSFER IN,Salary/Income,2023-01-01,False,0.0,
4a9bb176-b044-452f-ad0f-2b89479cd45e,fbca936e-33ce-42ca-a278-37b8145af503,3973.07,income,PAYROLL DIRECT DEP - PAYROLL,ACH PAYROLL DEP,Salary/Income,2023-01-01,False,0.0,
91db18f2-55d5-4c7f-a495-185dda6c9086,bf1b3ee0-40ab-4de3-ae8f-cf84ea04368d,6607.42,income,PAYROLL DIRECT DEP - PAYROLL,ACH PAYROLL DEP,Salary/Income,2023-01-01,False,0.0,
8173a1ec-065e-4b25-8cac-4decfa744612,39d05467-29e8-42d7-ab58-973c7aa4ece5,4032.02,income,PAYROLL DIRECT DEP - SALARY,SALARY TRANSFER IN,Salary/Income,2023-01-01,False,0.0,
405d53e5-65ac-482b-8969-29f23a575d90,e3637d58-8269-4b57-84a9-1c468859e9f2,4029.56,income,PAYROLL DIRECT DEP - PAYCHECK,PAYROLL DIRECT DEP,Salary/Income,2023-01-01,False,0.0,
4df1c278-2914-4090-8a3c-23e6983072dc,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,30.8,expense,IHOP #3847 BREAKFAST,IHOP #3847,Food & Dining,2023-01-02,False,0.0,
17e7280c-79f6-42b8-93fd-e0b351bc5748,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,44.13,expense,WALMART GROCERY FOOD,WALMART GROCERY,Groceries,2023-01-02,False,0.0,
0bd8cf30-85e2-402a-b8df-a47dee8e5170,39d05467-29e8-42d7-ab58-973c7aa4ece5,178.77,expense,ZOOM PRO SUBSCRIPTION BILL PAY,ZOOM PRO SUBSCRIPTION,Utilities & Bills,2023-01-02,False,0.0,
9c6ee7bb-5871-4720-8513-c0786e9d3389,39d05467-29e8-42d7-ab58-973c7aa4ece5,90.57,expense,AMAZON PRIME MEMBERSHIP AUTO PAY,AMAZON PRIME MEMBERSHIP,Utilities & Bills,2023-01-02,False,0.0,
a27d6076-ed76-475c-8172-e7996269475d,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,83.91,expense,MSFT *OFFICE 365 SERVICE,MSFT *OFFICE 365,Utilities & Bills,2023-01-02,False,0.0,
1a69d048-4feb-4f35-909c-362c51741a5b,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,116.49,expense,ADT SECURE HOME AUTO PAY,ADT SECURE HOME,Utilities & Bills,2023-01-02,False,0.0,
87e6a2b0-ed1c-4a49-8e8b-887a679a2795,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,262.1,expense,CONCISE CHIRO CLINIC CLINIC,CONCISE CHIRO CLINIC,Healthcare,2023-01-02,False,0.0,
05bc13ce-f884-4d78-a2b6-26cd778c1c38,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,945.88,expense,PRICELINE HOTELS BOOKING,PRICELINE HOTELS,Travel,2023-01-02,False,0.0,
29924d19-2aac-4146-9efe-faf6a3471a45,c3851e2c-c2b4-46fa-b7f8-08a72ca4d7e7,37.46,expense,COSTCO WHSE #3847 PRODUCE,COSTCO WHSE #3847,Groceries,2023-01-02,False,0.0,
abe0afb4-250f-4373-8eb9-8a41d99fe1e3,fbca936e-33ce-42ca-a278-37b8145af503,785.54,expense,BOOKING.COM RESV RESORT,BOOKING.COM RESV,Travel,2023-01-05,False,0.0,
74fe6401-46e4-4df2-ac64-4c515247447f,fbca936e-33ce-42ca-a278-37b8145af503,68.29,expense,TRADER JOE'S #47 MARKET,TRADER JOE'S #47,Groceries,2023-01-05,False,0.0,
bf7d6f15-3c26-4126-a373-9b22e5218097,fbca936e-33ce-42ca-a278-37b8145af503,623.65,expense,DELTA AIR LINES HOTEL,DELTA AIR LINES,Travel,2023-01-05,False,0.0,
cc6eba64-85c9-466a-9cd1-8cc2afd3baef,fbca936e-33ce-42ca-a278-37b8145af503,1489.98,expense,MARRIOTT HOTELS HOTEL,MARRIOTT HOTELS,Travel,2023-01-05,False,0.0,
bf73c7c7-2a1a-4ad7-b82e-bbb2041ef27a,fbca936e-33ce-42ca-a278-37b8145af503,100.11,expense,TOLL ROAD #3847 PARKING,TOLL ROAD #3847,Transportation,2023-01-05,False,0.0,
c1ca2904-9e5b-4c42-920b-64e03ea6f099,fbca936e-33ce-42ca-a278-37b8145af503,133.72,expense,COSTCO WHSE #3847 PRODUCE,COSTCO WHSE #3847,Groceries,2023-01-05,False,0.0,
9cef847d-d8db-4f03-b1ac-ae3c7e712e6d,fbca936e-33ce-42ca-a278-37b8145af503,150.94,expense,CFA INSTITUTE COURSE,CFA INSTITUTE,Education,2023-01-05,False,0.0,
46d2c75c-0c28-4daf-a26a-2292cc7ef695,fbca936e-33ce-42ca-a278-37b8145af503,18.7,expense,WHOLE FOODS MKT PRODUCE,WHOLE FOODS MKT,Groceries,2023-01-05,False,0.0,
9bf8d9b5-236e-4791-947c-933565760302,bf1b3ee0-40ab-4de3-ae8f-cf84ea04368d,61.35,expense,KROGER #384 TAKEOUT,KROGER #384,Food & Dining,2023-01-06,False,0.0,
9909e47c-d13e-4bdf-943a-dd164d11df57,bf1b3ee0-40ab-4de3-ae8f-cf84ea04368d,1343.83,expense,KAYAK BOOKING BOOKING,KAYAK BOOKING,Travel,2023-01-06,False,0.0,
32dfb34e-ff4d-4654-be8b-a49ccd818f1a,e3637d58-8269-4b57-84a9-1c468859e9f2,112.1,expense,UBER EATS SNACK,UBER EATS,Food & Dining,2023-01-07,False,0.0,
21143e5d-2ebb-47ce-99b6-95411ec944c6,e3637d58-8269-4b57-84a9-1c468859e9f2,52.91,expense,PG&E BILL PAY BILL PAY,PG&E BILL PAY,Utilities & Bills,2023-01-07,False,0.0,
1455f308-29d7-42b8-83e2-44bf286b8cc4,e3637d58-8269-4b57-84a9-1c468859e9f2,72.39,expense,LYFT RIDE PARKING,LYFT RIDE,Transportation,2023-01-07,False,0.0,
621d6ee3-9dbc-4097-8090-c849d42899d8,e3637d58-8269-4b57-84a9-1c468859e9f2,24.8,expense,TACO BELL #2948 TAKEOUT,TACO BELL #2948,Food & Dining,2023-01-07,False,0.0,
cf7795b1-29c4-4796-8086-65db407eacee,e3637d58-8269-4b57-84a9-1c468859e9f2,349.82,expense,BARNES&NOBLE ONLINE TUITION,BARNES&NOBLE ONLINE,Education,2023-01-07,False,0.0,
cfcef621-fddb-4b24-92f5-e6c16750bc6b,e3637d58-8269-4b57-84a9-1c468859e9f2,133.63,expense,MCDONALD'S F3849 COFFEE,MCDONALD'S F3849,Food & Dining,2023-01-07,False,0.0,
a7f46f02-5b3f-4c91-8d5f-9afb2a3e6d36,e3637d58-8269-4b57-84a9-1c468859e9f2,1765.27,expense,EXPEDIA HOTELS BOOKING,EXPEDIA HOTELS,Travel,2023-01-07,False,0.0,
63d9bf1e-e4df-4469-be11-b7431ae50773,e3637d58-8269-4b57-84a9-1c468859e9f2,224.94,expense,APPLE.COM/BILL MART,APPLE.COM/BILL,Shopping,2023-01-07,False,0.0,
6f9c3730-5299-4e1a-b0da-2ac72f8dec5f,fbca936e-33ce-42ca-a278-37b8145af503,58.23,expense,PUBLIX #3847 DINNER,PUBLIX #3847,Food & Dining,2023-01-10,False,0.0,
08701df2-6a82-49d4-b4b1-9512ba6727cd,fbca936e-33ce-42ca-a278-37b8145af503,29.2,expense,Denny's #3847 LUNCH,Denny's #3847,Food & Dining,2023-01-10,False,0.0,
01722332-4c71-4e2b-917a-28a223c1e136,fbca936e-33ce-42ca-a278-37b8145af503,1250.44,expense,HOLIDAY INN EXPRESS FLIGHT,HOLIDAY INN EXPRESS,Travel,2023-01-10,False,0.0,
b10385af-b1bd-4481-ba63-2eb2291b447a,fbca936e-33ce-42ca-a278-37b8145af503,112.28,expense,DICE.FM CONCERT SUBSCRIPTION,DICE.FM CONCERT,Entertainment,2023-01-10,False,0.0,
e4c88f24-5cb4-4ed4-85cf-a09e711899d3,fbca936e-33ce-42ca-a278-37b8145af503,267.44,expense,BOOKS AMAZON BOOKS,BOOKS AMAZON,Education,2023-01-10,False,0.0,
4bd9de81-c9ae-47ad-8df3-65b541eb0a92,39d05467-29e8-42d7-ab58-973c7aa4ece5,32.6,expense,TRADER JOE'S #47 SUPERMARKET,TRADER JOE'S #47,Groceries,2023-01-10,False,0.0,
f0f9e9ef-0a68-42ea-9816-362e6ea90547,fbca936e-33ce-42ca-a278-37b8145af503,71.33,expense,PARK 'N FLY PARKING,PARK 'N FLY,Transportation,2023-01-10,False,0.0,
e4f9278d-1e1c-44f6-a171-58562dcec469,39d05467-29e8-42d7-ab58-973c7aa4ece5,1521.74,expense,HOLIDAY INN EXPRESS BOOKING,HOLIDAY INN EXPRESS,Travel,2023-01-10,False,0.0,
4e1426d1-7949-4c2f-a9f4-316b53938d3b,39d05467-29e8-42d7-ab58-973c7aa4ece5,168.19,expense,HAGGEN FOODS #3847 MARKET,HAGGEN FOODS #3847,Groceries,2023-01-10,False,0.0,
b13095da-746e-427b-a3e2-57180a8189dc,39d05467-29e8-42d7-ab58-973c7aa4ece5,778.57,expense,HILTON WORLDWIDE AIRBNB,HILTON WORLDWIDE,Travel,2023-01-10,False,0.0,
133b6508-9a0b-4a98-8115-f7ee08737ec4,39d05467-29e8-42d7-ab58-973c7aa4ece5,58.95,expense,AMTRAK Auto Train TOLL,AMTRAK Auto Train,Transportation,2023-01-10,False,0.0,
1790cbc3-6dc4-4e2f-a90f-5f1090d01c3e,39d05467-29e8-42d7-ab58-973c7aa4ece5,214.09,expense,PLANNED PARENTHOOD PHARMACY,PLANNED PARENTHOOD,Healthcare,2023-01-10,False,0.0,
a2d75b1c-069f-4662-85a8-583dc386e832,e3637d58-8269-4b57-84a9-1c468859e9f2,100.01,expense,ZOOM PRO SUBSCRIPTION MONTHLY,ZOOM PRO SUBSCRIPTION,Utilities & Bills,2023-01-12,False,0.0,
9366c66d-42d9-4b20-8cdc-289d2eafaeae,e3637d58-8269-4b57-84a9-1c468859e9f2,154.97,expense,COSTCO PHARMACY #3847 PHARMACY,COSTCO PHARMACY #3847,Healthcare,2023-01-12,False,0.0,
e03ccd0c-bf12-4f8e-a429-cab25d27779d,e3637d58-8269-4b57-84a9-1c468859e9f2,118.14,expense,SPROUTS FRMKT #384 SUPERMARKET,SPROUTS FRMKT #384,Groceries,2023-01-12,False,0.0,
3fc1afd7-7e1b-4a15-8c5f-fd3ccdd2ea2f,e3637d58-8269-4b57-84a9-1c468859e9f2,44.08,expense,URBAN HEALTH CLINIC PRESCRIPTION,URBAN HEALTH CLINIC,Healthcare,2023-01-12,False,0.0,
4fc5ef8a-c257-4a67-860b-6996ccf4effe,e3637d58-8269-4b57-84a9-1c468859e9f2,309.16,expense,APPLE.COM/BILL STORE,APPLE.COM/BILL,Shopping,2023-01-12,False,0.0,
beaa9ca7-ab93-466d-88fa-be48635753cd,bf1b3ee0-40ab-4de3-ae8f-cf84ea04368d,289.97,expense,COSTCO WHSE #3847 PICKUP,COSTCO WHSE #3847,Shopping,2023-01-14,False,0.0,
